Date of Occurrence,Time of Occurrence,latitude,longitude,Distance from Police Station,Station,Crime Type,DateTime
25-02-2023,23:36:00,18.45379196,73.86502883,4,Bharti vidypeeth,"Mischief, Theft",25-02-2023 23:36
13-02-2023,19:45:00,18.45939258,73.83679917,3,Bharti vidypeeth,Theft,13-02-2023 19:45
20-03-2023,21:03:00,18.45748548,73.84638974,3,Bharti vidypeeth,Theft,20-03-2023 21:03
24-02-2023,08:32:00,18.44064723,73.84020888,5,Bharti vidypeeth,"Criminal Trespass, Theft",24-02-2023 08:32
17-02-2023,03:11:00,18.46299528,73.84236608,3,Bharti vidypeeth,"Police-related offenses and misconduct, Offences against the State",17-02-2023 03:11
03-06-2023,19:27:00,18.45060456,73.83928674,3,Bharti vidypeeth,Alcohol prohibition violations,03-06-2023 19:27
16-03-2023,12:43:00,18.44740857,73.85969291,2.5,Bharti vidypeeth,Theft,16-03-2023 12:43
18-02-2023,20:12:00,18.45612375,73.83388631,3,Bharti vidypeeth,"Elections & Authority, Public Health, Safety, Offences against the State, Of Abetment, Traffic violations and motor vehicle offenses, Hurt",18-02-2023 20:12
25-03-2023,22:05:00,18.44799786,73.84894301,5,Bharti vidypeeth,"Mischief, Theft",25-03-2023 22:05
16-02-2023,00:08:00,18.45794656,73.85722216,1,Bharti vidypeeth,"Elections & Authority, Public Health, Safety, Of Abetment, Traffic violations and motor vehicle offenses, Hurt",16-02-2023 00:08
19-03-2023,23:06:00,18.44278006,73.8605884,3,Bharti vidypeeth,"Intimidation & Annoyance, Theft",19-03-2023 23:06
03-03-2023,12:20:00,18.45447223,73.85284402,3,Bharti vidypeeth,Gambling-related offenses,03-03-2023 12:20
25-03-2023,19:32:00,18.46376751,73.87537653,4,Bharti vidypeeth,Theft,25-03-2023 19:32
06-03-2023,20:37:00,18.42319674,73.85986687,5,Bharti vidypeeth,Cheating,06-03-2023 20:37
27-06-2023,23:46:00,18.45435418,73.86827343,3,Bharti vidypeeth,Theft,27-06-2023 23:46
22-06-2023,23:19:00,18.45105455,73.8719569,4,Bharti vidypeeth,"Elections & Authority, Public Health, Safety, Offences against the State, Of Abetment, Traffic violations and motor vehicle offenses, Offences Affecting Life",22-06-2023 23:19
01-04-2023,12:13:00,18.4300921,73.85737758,3,Bharti vidypeeth,"Elections & Authority, Public Health, Safety, Of Abetment, Mischief",01-04-2023 12:13
23-06-2023,20:37:00,18.44807159,73.85847396,3,Bharti vidypeeth,"Cybercrimes and digital fraud, Cheating",23-06-2023 20:37
27-06-2023,23:40:00,18.44671248,73.8706043,3,Bharti vidypeeth,"Elections & Authority, Public Health, Safety, Offences against the State, Of Abetment, Traffic violations and motor vehicle offenses",27-06-2023 23:40
02-04-2023,22:55:00,18.44216195,73.85939029,2,Bharti vidypeeth,"Criminal Trespass, Theft",02-04-2023 22:55
