Date of Occurrence,Time of Occurrence,latitude,longitude,Distance from Police Station,Station,Crime Type,DateTime,hour,day_of_week,is_night,month,year,TimeOfDay,Crime_Mischief,Crime_Wrongful Restraint and Confinement,Crime_Robbery and Dacoity,Crime_Gambling-related offenses,Crime_Offences Relating to Documents,Crime_Weights & Measures,Crime_Coin & Govt Stamps,Crime_Intimidation & Annoyance,Crime_Cheating,Crime_Theft,Crime_Marriage-related Offences,Crime_Criminal Trespass,Crime_Safety,Crime_Public Servants,Crime_Offences against the State,Crime_Public Tranquillity,Crime_Traffic violations and motor vehicle offenses,Crime_Offences Affecting Life,Crime_Kidnapping,Crime_Damage to public property,Crime_Slavery and Forced Labour,Crime_Alcohol prohibition violations,Crime_Attempts to Commit Offences,Crime_Criminal Force and Assault,Crime_Cybercrimes and digital fraud,Crime_General Exceptions,Crime_Elections & Authority,Crime_Public Health,Crime_Unknown,Crime_Police-related offenses and misconduct,Crime_General criminal offenses,Crime_False Evidence & Justice,Crime_Abduction,Crime_Drug trafficking and substance abuse,Crime_Criminal Breach of Trust,Crime_Copyright infringement and intellectual property violations,Crime_Extortion,Crime_State-specific motor vehicle violations,Crime_Public safety violations,Crime_Hurt,Crime_Of Abetment,Crime_Criminal Conspiracy,CrimeSeverity,hour_normalized,day_of_week_normalized,Distance from Police Station_normalized
25-02-2023,23:36:00,18.45379196,73.86502883,4.0,1,"Mischief, Theft",2023-02-25 23:36:00,23,5,1,2,2023,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,1.157056642625477,1.0898315722898122,1.0802951665194722
13-02-2023,19:45:00,18.45939258,73.83679917,3.0,1,Theft,2023-02-13 19:45:00,19,0,1,2,2023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.6570356590331043,-1.4986928407672964,0.5115249375652409
20-03-2023,21:03:00,18.45748548,73.84638974,3.0,1,Theft,2023-03-20 21:03:00,21,0,1,3,2023,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.9070461508292906,-1.4986928407672964,0.5115249375652409
24-02-2023,08:32:00,18.44064723,73.84020888,5.0,1,"Criminal Trespass, Theft",2023-02-24 08:32:00,8,4,0,2,2023,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moderate,-0.7180220458459204,0.5721266896783905,1.6490653954737038
17-02-2023,03:11:00,18.46299528,73.84236608,3.0,1,"Police-related offenses and misconduct, Offences against the State",2023-02-17 03:11:00,3,4,1,2,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Very High,-1.3430482753363862,0.5721266896783905,0.5115249375652409
03-06-2023,19:27:00,18.45060456,73.83928674,3.0,1,Alcohol prohibition violations,2023-06-03 19:27:00,19,5,1,6,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.6570356590331043,1.0898315722898122,0.5115249375652409
16-03-2023,12:43:00,18.44740857,73.85969291,2.5,1,Theft,2023-03-16 12:43:00,12,3,0,3,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,-0.21800106225354782,0.05442180706696883,0.22713982308812516
18-02-2023,20:12:00,18.45612375,73.83388631,3.0,1,"Elections & Authority, Public Health, Safety, Offences against the State, Of Abetment, Traffic violations and motor vehicle offenses, Hurt",2023-02-18 20:12:00,20,5,1,2,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Very High,0.7820409049311975,1.0898315722898122,0.5115249375652409
25-03-2023,22:05:00,18.44799786,73.84894301,5.0,1,"Mischief, Theft",2023-03-25 22:05:00,22,5,1,3,2023,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moderate,1.0320513967273839,1.0898315722898122,1.6490653954737038
16-02-2023,00:08:00,18.45794656,73.85722216,1.0,1,"Elections & Authority, Public Health, Safety, Of Abetment, Traffic violations and motor vehicle offenses, Hurt",2023-02-16 00:08:00,0,3,1,2,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Moderate,-1.7180640130306657,0.05442180706696883,-0.6260155203432219
19-03-2023,23:06:00,18.44278006,73.8605884,3.0,1,"Intimidation & Annoyance, Theft",2023-03-19 23:06:00,23,6,1,3,2023,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moderate,1.157056642625477,1.607536454901234,0.5115249375652409
03-03-2023,12:20:00,18.45447223,73.85284402,3.0,1,Gambling-related offenses,2023-03-03 12:20:00,12,4,0,3,2023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,-0.21800106225354782,0.5721266896783905,0.5115249375652409
25-03-2023,19:32:00,18.46376751,73.87537653,4.0,1,Theft,2023-03-25 19:32:00,19,5,1,3,2023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.6570356590331043,1.0898315722898122,1.0802951665194722
